month_end,symbol,ret_exc,mktcap_lag,size,bm,profit_gpm,asset_growth,sales_growth,ev_ebitda,roe,roa,ps_ratio,ev_sales,fcf_yield,eps_growth,ocf_growth,net_margin,op_margin,ebitda_margin,debt_equity,current_ratio,earn_yield,roic
2011-05-31,AAPL,-0.0063999999999999,324411074400.0,26.505277296706087,0.18950339507891967,0.4142376454372238,0.094095132692352,-0.0775588048315321,37.12482840635532,0.0973860142817639,0.0630848014836044,13.151622588883932,12.503874585478574,0.0171479965974922,0.0,-0.3636549677683413,0.2427129363116714,0.3192119025418575,0.3368062593748733,0.0,1.931886381386936,0.0184549803395984,0.0845501501816043
2011-06-30,AAPL,-0.0346215780998389,324411074400.0,26.505277296706087,0.18950339507891967,0.4142376454372238,0.094095132692352,-0.0775588048315321,37.12482840635532,0.0973860142817639,0.0630848014836044,13.151622588883932,12.503874585478574,0.0171479965974922,0.0,-0.3636549677683413,0.2427129363116714,0.3192119025418575,0.3368062593748733,0.0,1.931886381386936,0.0184549803395984,0.0845501501816043
2011-07-31,AAPL,0.1634695579649707,324411074400.0,26.505277296706087,0.21375040950204996,0.4172762591438871,0.124905167326983,0.1582681315117363,29.438614588235293,0.1053891524739339,0.0684538863598044,10.582609633544504,10.159418285674285,0.0335564987301681,0.2173913043478261,0.7861392506833896,0.2557838367575513,0.3282699240488607,0.3451051765776486,0.0,1.7460813879891284,0.0241702042893818,0.0898183113336906
2011-08-31,AAPL,-0.015153763440860099,302355739840.0,26.43487010757672,0.22934242967140225,0.4172762591438871,0.124905167326983,0.1582681315117363,29.438614588235293,0.1053891524739339,0.0684538863598044,10.582609633544504,10.159418285674285,0.0335564987301681,0.2173913043478261,0.7861392506833896,0.2557838367575513,0.3282699240488607,0.3451051765776486,0.0,1.7460813879891284,0.0241702042893818,0.0898183113336906
2011-09-30,AAPL,-0.0087336244541484,302355739840.0,26.43487010757672,0.22934242967140225,0.4172762591438871,0.124905167326983,0.1582681315117363,29.438614588235293,0.1053891524739339,0.0684538863598044,10.582609633544504,10.159418285674285,0.0335564987301681,0.2173913043478261,0.7861392506833896,0.2557838367575513,0.3282699240488607,0.3451051765776486,0.0,1.7460813879891284,0.0241702042893818,0.0898183113336906
2011-10-31,AAPL,0.0616740088105727,302355739840.0,26.43487010757672,0.2533935689150236,0.4025468694729395,0.0900447741621236,-0.0105351580273704,39.50147731546525,0.0864452130783789,0.0569128047365752,13.276341337106471,12.929153505482844,0.0156079242700828,-0.1071428571428572,-0.0611271155923658,0.2342766183233109,0.3081004598514326,0.3273081004598514,0.0,1.6084376117268502,0.0176461731718605,0.0742296567281733
2011-11-30,AAPL,-0.0560165975103734,375322169600.0,26.651050613018715,0.2041312936074427,0.4025468694729395,0.0900447741621236,-0.0105351580273704,39.50147731546525,0.0864452130783789,0.0569128047365752,13.276341337106471,12.929153505482844,0.0156079242700828,-0.1071428571428572,-0.0611271155923658,0.2342766183233109,0.3081004598514326,0.3273081004598514,0.0,1.6084376117268502,0.0176461731718605,0.0742296567281733
2011-12-31,AAPL,0.0593406593406593,375322169600.0,26.651050613018715,0.2041312936074427,0.4025468694729395,0.0900447741621236,-0.0105351580273704,39.50147731546525,0.0864452130783789,0.0569128047365752,13.276341337106471,12.929153505482844,0.0156079242700828,-0.1071428571428572,-0.0611271155923658,0.2342766183233109,0.3081004598514326,0.3273081004598514,0.0,1.6084376117268502,0.0176461731718605,0.0742296567281733
2012-01-31,AAPL,0.1272475795297372,375322169600.0,26.651050613018715,0.23993786483749455,0.4468305527377895,0.1917144305711904,0.6389458790237,20.30064116494103,0.1450685144468874,0.0942018012561201,8.135883281462457,7.913363694990611,0.0427764355097361,1.0,0.6831911017355451,0.2819588630134029,0.374247296743142,0.3898085597738113,0.0,1.5826566879533042,0.0346562079689422,0.124542084965844
2012-02-29,AAPL,0.1883435582822086,376959880080.0,26.65540459984559,0.23889544951279262,0.4468305527377895,0.1917144305711904,0.6389458790237,20.30064116494103,0.1450685144468874,0.0942018012561201,8.135883281462457,7.913363694990611,0.0427764355097361,1.0,0.6831911017355451,0.2819588630134029,0.374247296743142,0.3898085597738113,0.0,1.5826566879533042,0.0346562079689422,0.124542084965844
2012-03-31,AAPL,0.1053175012906555,376959880080.0,26.65540459984559,0.23889544951279262,0.4468305527377895,0.1917144305711904,0.6389458790237,20.30064116494103,0.1450685144468874,0.0942018012561201,8.135883281462457,7.913363694990611,0.0427764355097361,1.0,0.6831911017355451,0.2819588630134029,0.374247296743142,0.3898085597738113,0.0,1.5826566879533042,0.0346562079689422,0.124542084965844
2012-04-30,AAPL,-0.0256889304063522,376959880080.0,26.65540459984559,0.2719069201163992,0.4737406216505895,0.0883538480397458,-0.1542529082943042,34.08228338873729,0.1133875782942106,0.0770005432838194,14.282236956055732,14.023955937324557,0.0222776627601656,-0.12,-0.2037712202347043,0.2965855152350329,0.3925891900168427,0.4114734854284693,0.0,1.5829691596953428,0.0207660407923199,0.0968162397626755
2012-05-31,AAPL,-0.011125886864812999,559663737360.0,26.71073168849655,0.18314211401920585,0.4737406216505895,0.0883538480397458,-0.1542529082943042,34.08228338873729,0.1133875782942106,0.0770005432838194,14.282236956055732,14.023955937324557,0.0222776627601656,-0.12,-0.2037712202347043,0.2965855152350329,0.3925891900168427,0.4114734854284693,0.0,1.5829691596953428,0.0207660407923199,0.0968162397626755
2012-06-30,AAPL,0.011148812409113,559663737360.0,26.71073168849655,0.18314211401920585,0.4737406216505895,0.0883538480397458,-0.1542529082943042,34.08228338873729,0.1133875782942106,0.0770005432838194,14.282236956055732,14.023955937324557,0.0222776627601656,-0.12,-0.2037712202347043,0.2965855152350329,0.3925891900168427,0.4114734854284693,0.0,1.5829691596953428,0.0207660407923199,0.0968162397626755
2012-07-31,AAPL,0.0455417066155321,559663737360.0,26.71073168849655,0.19966632200813847,0.4281186648773663,0.0792531835106735,-0.1062369213494615,42.462349691241336,0.0789647951604531,0.0541695314802082,15.619649706764127,15.392798780230134,0.0132091028922555,-0.2272727272727272,-0.2710166702439722,0.2519487194129572,0.3304399965736802,0.3625046398081261,0.0,1.5711736237144585,0.0161302413397817,0.0663124416976386
2012-08-31,AAPL,0.08930852819807429,547046991680.0,26.71073168849655,0.20427129972294375,0.4281186648773663,0.0792531835106735,-0.1062369213494615,42.462349691241336,0.0789647951604531,0.0541695314802082,15.619649706764127,15.392798780230134,0.0132091028922555,-0.2272727272727272,-0.2710166702439722,0.2519487194129572,0.3304399965736802,0.3625046398081261,0.0,1.5711736237144585,0.0161302413397817,0.0663124416976386
2012-09-30,AAPL,0.0028461279461278,547046991680.0,26.71073168849655,0.20427129972294375,0.4281186648773663,0.0792531835106735,-0.1062369213494615,42.462349691241336,0.0789647951604531,0.0541695314802082,15.619649706764127,15.392798780230134,0.0132091028922555,-0.2272727272727272,-0.2710166702439722,0.2519487194129572,0.3304399965736802,0.3625046398081261,0.0,1.5711736237144585,0.0161302413397817,0.0663124416976386
2012-10-31,AAPL,-0.107947251363827,547046991680.0,26.71073168849655,0.21608746926287456,0.3701697267292912,0.0808368529613986,0.0699254775433286,49.3419701990174,0.0635479231875475,0.0426663031624863,16.099853760674637,15.813079635994876,0.0093403922700855,-0.1176470588235295,-0.1033467464913141,0.2004696840307429,0.2676665243381725,0.320479291204099,0.0,1.4958486845519174,0.0124516462702542,0.0540154386247085
2012-11-30,AAPL,-0.0170332079021637,603293720120.0,26.71073168849655,0.19594104174743784,0.3701697267292912,0.0808368529613986,0.0699254775433286,49.3419701990174,0.0635479231875475,0.0426663031624863,16.099853760674637,15.813079635994876,0.0093403922700855,-0.1176470588235295,-0.1033467464913141,0.2004696840307429,0.2676665243381725,0.320479291204099,0.0,1.4958486845519174,0.0124516462702542,0.0540154386247085
2012-12-31,AAPL,-0.0905306220095692,603293720120.0,26.71073168849655,0.19594104174743784,0.3701697267292912,0.0808368529613986,0.0699254775433286,49.3419701990174,0.0635479231875475,0.0426663031624863,16.099853760674637,15.813079635994876,0.0093403922700855,-0.1176470588235295,-0.1033467464913141,0.2004696840307429,0.2676665243381725,0.320479291204099,0.0,1.4958486845519174,0.0124516462702542,0.0540154386247085
